Why or why not?,Why or why not?.1,"Describe the conversation you had with your employer about your mental health, including their reactions and what actions were taken to address your mental health issue/questions.",Describe the conversation with coworkers you had about your mental health including their reactions.,Describe the conversation your coworker had with you about their mental health (please do not use names).,"Describe the conversation you had with your previous employer about your mental health, including their reactions and actions taken to address your mental health issue/questions.",Describe the conversation you had with your previous coworkers about your mental health including their reactions.,Describe the conversation your coworker had with you about their mental health (please do not use names)..1,Briefly describe what you think the industry as a whole and/or employers could do to improve mental health support for employees.,Describe the circumstances of the badly handled or unsupportive response.,"If there is anything else you would like to tell us that has not been covered by the survey questions, please use this space to do so.",Why or why not?_cleaned,Why or why not?.1_cleaned,"Describe the conversation you had with your employer about your mental health, including their reactions and what actions were taken to address your mental health issue/questions._cleaned",Describe the conversation with coworkers you had about your mental health including their reactions._cleaned,Describe the conversation your coworker had with you about their mental health (please do not use names)._cleaned,"Describe the conversation you had with your previous employer about your mental health, including their reactions and actions taken to address your mental health issue/questions._cleaned",Describe the conversation you had with your previous coworkers about your mental health including their reactions._cleaned,Describe the conversation your coworker had with you about their mental health (please do not use names)..1_cleaned,Briefly describe what you think the industry as a whole and/or employers could do to improve mental health support for employees._cleaned,Describe the circumstances of the badly handled or unsupportive response._cleaned,"If there is anything else you would like to tell us that has not been covered by the survey questions, please use this space to do so._cleaned",combined_text,sentiment_score,sentiment_label,country
I wouldn’t want to bring it up if I thought it would make me less employable ,I wouldn’t want to bring it up if I thought it would make me less employable ,I told my boss that I would be out of the office every Monday at 1 to go to therapy. She was very supportive.,,,I gave my former boss a medical note that said I couldn’t work more than 40 hours a week and she was shocked and questioned that I was even working more than 40 hours a week and said she would share it with her boss. ,,,Have open discussions about mental health,,,wouldnt want bring thought would make less employable,wouldnt want bring thought would make less employable,told bos would office every monday go therapy supportive,,,gave former bos medical note said couldnt work hour week shocked questioned even working hour week said would share bos,,,open discussion mental health,,,wouldnt want bring thought would make less employable wouldnt want bring thought would make less employable told bos would office every monday go therapy supportive   gave former bos medical note said couldnt work hour week shocked questioned even working hour week said would share bos   open discussion mental health  ,0.066,Positive,United States of America
Depending on what physical health issue it is,Not certain whether it is needed or not.,,,,,,,We should be more actively support people with mental health issue.,,,depending physical health issue,certain whether needed,,,,,,,actively support people mental health issue,,,depending physical health issue certain whether needed       actively support people mental health issue  ,0.7269,Positive,United States of America
i could loose everything i have.,same as first answered,,,,,,,No pressure from above. No Top-Down Bullshit. Listen more to developers what is possible to achieve. More professionals or previous developers and not assholes as managers.,,,could loose everything,first answered,,,,,,,pressure topdown bullshit listen developer possible achieve professional previous developer asshole manager,,,could loose everything first answered       pressure topdown bullshit listen developer possible achieve professional previous developer asshole manager  ,-0.8074,Negative,United States of America
"I'm not sure to understand the difference between a mental and a physical health issue (I'm not a English native speaker), to me, they are both related, when I experience mental issues, it trigger a physical response (eating disorder, nausea, hair loss, self-inflicted wounds). I won't talk about physical issues that stems from mental heath problems, but I rather discuss about the need of an healthy working environment. ",See the response above :),"Oh my... An open question... First of all, sorry, English is not my main language, so please bare with me. I work in an IT consulting firm and I faced 2 burnouts, clients were to blame every-time because they were looking for code monkeys instead of software crafts·men·women that care a  about quality (the vast majority of my coworkers). My company was supportive, I had the time to put myself back together but no real solution was found (yet) to prevent consultants to be appointed to unhealthy environments. But they are working on it. In France, it's called occupational stress prevention (prévention des risques psychosociaux), many people here fell very uneasy about the term mental health, to be honest, I really don't know what to do to raise awareness about this issue. ","It was a mixed bag. We all react differently to oppression (that lead to depression) in the workplace. Some said to me to ""man up"" some others were compassionate. I described my experiences and detailed the many defence mechanisms I developed over the years to fight against unhealthy behaviours. Oppression, alienation at work, sexism, lack of quality in our craft, lack of empathy, rejected ideas for unfair and political reasons and so on. Politics is everywhere nowadays, I believe that everyone is politically engaged and it's hard to find a common ground that allow us to move forward.","One of my coworker faced the same issue as me back then, I was alerted by my human resource manager to help him out. I was grateful to be part of that process and I believe I helped him to recover a bit. We discussed about the gap that exist between the corporate culture of the client he was working with and his desire as a software craftsman. I told him that it wasn't his fault, that he was doing what felt right to him, but his arguments was falling on deaf ears, they weren't interested about his expertise, they just wanted a mindless robot that can work tirelessly without asking too much questions. I told him that he was more than competent, that he was not an impostor.",,,,"The industry need standards to prevent employees from developing mental heath issues, I believe that most of it can be prevented if it shows more consideration for the human condition. We are not machines, we need a sustainable work pace, we cannot be threatened all the time by unrealistic deadlines, a balance need to be found. ",,"Thank you, I really needed this survey. Love you all ❤️",im sure understand difference mental physical health issue im english native speaker related experience mental issue trigger physical response eating disorder nausea hair loss selfinflicted wound wont talk physical issue stem mental heath problem rather discus need healthy working environment,see response,oh open question first sorry english main language please bare work consulting firm faced burnouts client blame everytime looking code monkey instead software craftsmenwomen care quality vast majority coworkers company supportive time put back together real solution found yet prevent consultant appointed unhealthy environment working france called occupational stress prevention prévention de risques psychosociaux many people fell uneasy term mental health honest really dont know raise awareness issue,mixed bag react differently oppression lead depression workplace said man others compassionate described experience detailed many defence mechanism developed year fight unhealthy behaviour oppression alienation work sexism lack quality craft lack empathy rejected idea unfair political reason politics everywhere nowadays believe everyone politically engaged hard find common ground allow u move forward,one coworker faced issue back alerted human resource manager help grateful part process believe helped recover bit discussed gap exist corporate culture client working desire software craftsman told wasnt fault felt right argument falling deaf ear werent interested expertise wanted mindless robot work tirelessly without asking much question told competent impostor,,,,industry need standard prevent employee developing mental heath issue believe prevented show consideration human condition machine need sustainable work pace threatened time unrealistic deadline balance need found,,thank really needed survey love,im sure understand difference mental physical health issue im english native speaker related experience mental issue trigger physical response eating disorder nausea hair loss selfinflicted wound wont talk physical issue stem mental heath problem rather discus need healthy working environment see response oh open question first sorry english main language please bare work consulting firm faced burnouts client blame everytime looking code monkey instead software craftsmenwomen care quality vast majority coworkers company supportive time put back together real solution found yet prevent consultant appointed unhealthy environment working france called occupational stress prevention prévention de risques psychosociaux many people fell uneasy term mental health honest really dont know raise awareness issue mixed bag react differently oppression lead depression workplace said man others compassionate described experience detailed many defence mechanism developed year fight unhealthy behaviour oppression alienation work sexism lack quality craft lack empathy rejected idea unfair political reason politics everywhere nowadays believe everyone politically engaged hard find common ground allow u move forward one coworker faced issue back alerted human resource manager help grateful part process believe helped recover bit discussed gap exist corporate culture client working desire software craftsman told wasnt fault felt right argument falling deaf ear werent interested expertise wanted mindless robot work tirelessly without asking much question told competent impostor    industry need standard prevent employee developing mental heath issue believe prevented show consideration human condition machine need sustainable work pace threatened time unrealistic deadline balance need found  thank really needed survey love,-0.7867,Negative,United States of America
I would only bring it up if it had an impact on job performance.,"An interview doesn't feel like it would be an appropriate time, but I also am not sure when would be appropriate.",,,,,,,,,,would bring impact job performance,interview doesnt feel like would appropriate time also sure would appropriate,,,,,,,,,,would bring impact job performance interview doesnt feel like would appropriate time also sure would appropriate         ,0.049,Neutral,United States of America
I would only talk about the work of the position being interviewed for and my capacity to fill that position and perform those associated tasks.,I would only discuss my capacity and capabilities to perform in the intended role I would be interviewing for. I would not bring up my health in anyway unless it pertained to my capacity or capability to perform in the role. ,,,It was about their bi-polar diagnosis and medication.,,,,"I am not sure what they can do differently. Mental health issues are not something I have personal experience with and cannot speak to the treatment and response of employers, and I would not want to speak out of turn when it comes to mental health issues of which I know very little about. ",,,would talk work position interviewed capacity fill position perform associated task,would discus capacity capability perform intended role would interviewing would bring health anyway unless pertained capacity capability perform role,,,bipolar diagnosis medication,,,,sure differently mental health issue something personal experience speak treatment response employer would want speak turn come mental health issue know little,,,would talk work position interviewed capacity fill position perform associated task would discus capacity capability perform intended role would interviewing would bring health anyway unless pertained capacity capability perform role   bipolar diagnosis medication    sure differently mental health issue something personal experience speak treatment response employer would want speak turn come mental health issue know little  ,0.3818,Positive,United States of America
My physical disabilities limit me in life. There are some jobs that I will simply never be able to do. Not revealing these issues would be disadvantageous to both parties.,"Unfortunately, my substance abuse issues lead to me having a criminal record. I'll be forced to tell every employer about this for the rest of my life. :-(",I had a substance abuse issue I was working on getting over when I was hired here. The entire team has been nothing but supportive of my efforts to better myself and move on from this issue.,"I talked openly about needing to take a vacation to avoid burning out. This job is stressful, and I was in dire need of a break.",,,,,"I would love to see more open embracement of people with criminal records relating to substance abuse. Substance abuse in America is at about the same level as it has been for decades now, but arrests and incarcerations for it are at an all time high.",,,physical disability limit life job simply never able revealing issue would disadvantageous party,unfortunately substance abuse issue lead criminal record ill forced tell every employer rest life,substance abuse issue working getting hired entire team nothing supportive effort better move issue,talked openly needing take vacation avoid burning job stressful dire need break,,,,,would love see open embracement people criminal record relating substance abuse substance abuse america level decade arrest incarceration time high,,,physical disability limit life job simply never able revealing issue would disadvantageous party unfortunately substance abuse issue lead criminal record ill forced tell every employer rest life substance abuse issue working getting hired entire team nothing supportive effort better move issue talked openly needing take vacation avoid burning job stressful dire need break     would love see open embracement people criminal record relating substance abuse substance abuse america level decade arrest incarceration time high  ,-0.9911,Negative,United States of America
I have no physical issues.,No reason to.,,,,,Talked about side effects from various medications.,,Insurance and flex-time for doctor appointments.,,"I've been lucky enough to work for great places, but lots of places are very bad in general. ",physical issue,reason,,,,,talked side effect various medication,,insurance flextime doctor appointment,,ive lucky enough work great place lot place bad general,physical issue reason     talked side effect various medication  insurance flextime doctor appointment  ive lucky enough work great place lot place bad general,0.5267,Positive,United States of America
"Because of our idiotic health insurance system in the US.  It makes sick employees a liability for the entire company, so a sick candidate would seem to be less hirable.",Same reasons as above.,,,Mostly checking on folks who are obviously suffering from various stages of burnout.,,,,"The industry in general seems to have a fetish for the manic portion of the bipolar cycle, while actively looking down upon the depressive portion of the cycle, or those ""normal"" mental health (aka 1x employees).  Not sure what the industry can actually do except stop being so macho about money and growth and productivity.","A possibly depressive former coworker, was let go for basically unspecified reasons after kind of spiraling down for several months.",,idiotic health insurance system u make sick employee liability entire company sick candidate would seem less hirable,reason,,,mostly checking folk obviously suffering various stage burnout,,,,industry general seems fetish manic portion bipolar cycle actively looking upon depressive portion cycle normal mental health aka x employee sure industry actually except stop macho money growth productivity,possibly depressive former coworker let go basically unspecified reason kind spiraling several month,,idiotic health insurance system u make sick employee liability entire company sick candidate would seem less hirable reason   mostly checking folk obviously suffering various stage burnout    industry general seems fetish manic portion bipolar cycle actively looking upon depressive portion cycle normal mental health aka x employee sure industry actually except stop macho money growth productivity possibly depressive former coworker let go basically unspecified reason kind spiraling several month ,-0.8979,Negative,Portugal
Offices usually have food. I want my allergies to be respected.,"I would want to make sure that my needs are covered, both in work and by insurance. But I'd worry about not receiving the job based on that.",,,,,,,Anything. I don't think it's addressed at all.,,,office usually food want allergy respected,would want make sure need covered work insurance id worry receiving job based,,,,,,,anything dont think addressed,,,office usually food want allergy respected would want make sure need covered work insurance id worry receiving job based       anything dont think addressed  ,0.4767,Positive,United Kingdom
Seems a bit foolish,,,,,,,,,,,seems bit foolish,,,,,,,,,,,seems bit foolish          ,-0.2732,Negative,United States of America
Not relevant to hiring in my field.,not a legal hiring question?,"I have talk to my bosses in the past about the overwhelming workloads we sometimes find ourselves in, and how it effects our mental health.",,"pass for now, sorry",I accidentally answered this above.,pass again sorry,same old discussion about stress usually.,"Stop working us so hard. Keep to the 40 hour work week. Plan resources so ""crunch time"" becomes an idea of the past.",,,relevant hiring field,legal hiring question,talk boss past overwhelming workload sometimes find effect mental health,,pas sorry,accidentally answered,pas sorry,old discussion stress usually,stop working u hard keep hour work week plan resource crunch time becomes idea past,,,relevant hiring field legal hiring question talk boss past overwhelming workload sometimes find effect mental health  pas sorry accidentally answered pas sorry old discussion stress usually stop working u hard keep hour work week plan resource crunch time becomes idea past  ,-0.7845,Negative,United States of America
It's none of their business.,"Again, none of their business.",,"Said coworkers are also good friends, so were supportive.",,,,,Ease up stressful and high pressure environments.,,,none business,none business,,said coworkers also good friend supportive,,,,,ease stressful high pressure environment,,,none business none business  said coworkers also good friend supportive     ease stressful high pressure environment  ,0.6486,Positive,United States of America
"Unless the job has physical demands, my physical health is irrelevant for the purposes of an interview.",Quite frankly it's none of their business.,,,,,,,Current tech interview practices (whiteboarding / live coding) are demoralizing and contribute to ones feelings of not being welcome in the industry.,"In at least one case, a former coworker was having a panic attack and my former teammates did nothing to be supportive. Afterward, they viewed this person more negatively.",I think a survey around how people feel after tech interviews would be interesting.,unless job physical demand physical health irrelevant purpose interview,quite frankly none business,,,,,,,current tech interview practice whiteboarding live coding demoralizing contribute one feeling welcome industry,least one case former coworker panic attack former teammate nothing supportive afterward viewed person negatively,think survey around people feel tech interview would interesting,unless job physical demand physical health irrelevant purpose interview quite frankly none business       current tech interview practice whiteboarding live coding demoralizing contribute one feeling welcome industry least one case former coworker panic attack former teammate nothing supportive afterward viewed person negatively think survey around people feel tech interview would interesting,-0.3794,Negative,United States of America
If it was something that they would need to accommodate for then it would make sense to bring it up.,The stigma placed on mental health would cause me to keep that to myself. I wouldn't want someone judging my mental capacity to do the work.,,,,"When I worked at DigitalOcean, I informed them I wasn't doing well mentally. They noticed it too, that I wasn't the same. I told them I was seeking help and finding a therapist. They said they were there to support me. After being assessed and tested, the psychiatrist confirmed I had ADHD, causing impulsive outbursts and irritability, particularly under high stress. I was fired within 2 weeks after working there for 3 years with 3 raises and promotions. When they said why I was let go, it was because ""the psychiatrist didn't come back with an illness for your behavior."" They didn't take my mental health, my mental illness seriously.","I said I felt very irritated, quick tempered, depressed, very unhappy, anxious. They didn't seem to really want to talk about it.","They were feeling like they were having a heart attack, which I felt was a panic attack. I took them into a private conference room and talked to them in a calming way, asked if I could massage their shoulders to ease the panic, they said yes, so I did and kept talking to them to release their panic. They were very thankful.","Treat mental illness just like any other illness. If someone was hit by a car and put in the hospital, the company would send flowers and allow the person to heal. The same should be allowed for someone going through very emotional trauma or mental illness.",,,something would need accommodate would make sense bring,stigma placed mental health would cause keep wouldnt want someone judging mental capacity work,,,,worked digitalocean informed wasnt well mentally noticed wasnt told seeking help finding therapist said support assessed tested psychiatrist confirmed adhd causing impulsive outburst irritability particularly high stress fired within week working year raise promotion said let go psychiatrist didnt come back illness behavior didnt take mental health mental illness seriously,said felt irritated quick tempered depressed unhappy anxious didnt seem really want talk,feeling like heart attack felt panic attack took private conference room talked calming way asked could massage shoulder ease panic said yes kept talking release panic thankful,treat mental illness like illness someone hit car put hospital company would send flower allow person heal allowed someone going emotional trauma mental illness,,,something would need accommodate would make sense bring stigma placed mental health would cause keep wouldnt want someone judging mental capacity work    worked digitalocean informed wasnt well mentally noticed wasnt told seeking help finding therapist said support assessed tested psychiatrist confirmed adhd causing impulsive outburst irritability particularly high stress fired within week working year raise promotion said let go psychiatrist didnt come back illness behavior didnt take mental health mental illness seriously said felt irritated quick tempered depressed unhappy anxious didnt seem really want talk feeling like heart attack felt panic attack took private conference room talked calming way asked could massage shoulder ease panic said yes kept talking release panic thankful treat mental illness like illness someone hit car put hospital company would send flower allow person heal allowed someone going emotional trauma mental illness  ,-0.8751,Negative,United States of America
"If it's an issue that's relevant to the job, I would.  If not, it's not their business.","If it would impact my job, I feel I should.  If not, it's not their business.","After a particularly troubling episode (not related to my place of work but known to my colleagues), my direct supervisor at the time privately encouraged me to go see a therapist to help work through it.  He was very supportive and non-judgmental about it. I did so for a few months and it was helpful.",,,,,,"Actively work against the culture of over-doing it (late hours, caffeinate to keep going, etc.).  Encourage people to work on open source projects on company time so that they don't need do so on their own time.  No ""crunch time"" should ever last more than a week; if it does, it means management screwed up and it's their problem, not the developers'.",,,issue thats relevant job would business,would impact job feel business,particularly troubling episode related place work known colleague direct supervisor time privately encouraged go see therapist help work supportive nonjudgmental month helpful,,,,,,actively work culture overdoing late hour caffeinate keep going etc encourage people work open source project company time dont need time crunch time ever last week mean management screwed problem developer,,,issue thats relevant job would business would impact job feel business particularly troubling episode related place work known colleague direct supervisor time privately encouraged go see therapist help work supportive nonjudgmental month helpful      actively work culture overdoing late hour caffeinate keep going etc encourage people work open source project company time dont need time crunch time ever last week mean management screwed problem developer  ,0.6258,Positive,United States of America
Bias,Bias,,"Discussing depression and Bi-Polar disorder, surprising several others admitted to being on anti-depressants too.",discussing postpartum depression as well as ADHD issues,,,,"Build more flexible scheduling to accommodate for intense periods of creativity, focus, and stress that dont conform to 9-5 mentality",,,bias,bias,,discussing depression bipolar disorder surprising several others admitted antidepressant,discussing postpartum depression well adhd issue,,,,build flexible scheduling accommodate intense period creativity focus stress dont conform mentality,,,bias bias  discussing depression bipolar disorder surprising several others admitted antidepressant discussing postpartum depression well adhd issue    build flexible scheduling accommodate intense period creativity focus stress dont conform mentality  ,-0.743,Negative,Switzerland
Hopefully not relevant to the job and also none of their business.,They might use it against me.,I told my supervisor that my anxiety was making it difficult for me to do my work. I took sick time for when I wasn't working. He was very understanding.,I told my team that I had been experiencing higher than usual anxiety one week.,,,"Our supervisor's management style was causing mental and physical health problems in the majority of the staff. We often discussed what to do about it, but were powerless.",See L.,,"Stress for work was causing panic attacks. Rather than help me or extend deadlines, my supervisor tightened the screws.",,hopefully relevant job also none business,might use,told supervisor anxiety making difficult work took sick time wasnt working understanding,told team experiencing higher usual anxiety one week,,,supervisor management style causing mental physical health problem majority staff often discussed powerless,see l,,stress work causing panic attack rather help extend deadline supervisor tightened screw,,hopefully relevant job also none business might use told supervisor anxiety making difficult work took sick time wasnt working understanding told team experiencing higher usual anxiety one week   supervisor management style causing mental physical health problem majority staff often discussed powerless see l  stress work causing panic attack rather help extend deadline supervisor tightened screw ,-0.9485,Negative,United States of America
I don't feel it should be considered for my suitability to do a job.,I don't feel it should be considered for my suitability to do a job.,"Mentioned that I had been dealing with a lot of personal anxiety over certain things but was working on a program to help, they thanked me for letting them know.","It was cursory, vaguely mentioned anxiety problems.",,,,,Be more openly supportive.,,,dont feel considered suitability job,dont feel considered suitability job,mentioned dealing lot personal anxiety certain thing working program help thanked letting know,cursory vaguely mentioned anxiety problem,,,,,openly supportive,,,dont feel considered suitability job dont feel considered suitability job mentioned dealing lot personal anxiety certain thing working program help thanked letting know cursory vaguely mentioned anxiety problem     openly supportive  ,0.5859,Positive,United States of America
Seems reasonable to bring up something quantifiable and obvious.,"There's a stigma around that, and people might not know how to react gracefully.",,Talking about depression. Coworkers seem accepting.,Talking about anxiety and depresssion,,,,Talking about it without any sort of judgment or stigma would be helpful. The crunch heavy environment of the tech industry seems unhelpful for actually discussing things like this.,,,seems reasonable bring something quantifiable obvious,there stigma around people might know react gracefully,,talking depression coworkers seem accepting,talking anxiety depresssion,,,,talking without sort judgment stigma would helpful crunch heavy environment tech industry seems unhelpful actually discussing thing like,,,seems reasonable bring something quantifiable obvious there stigma around people might know react gracefully  talking depression coworkers seem accepting talking anxiety depresssion    talking without sort judgment stigma would helpful crunch heavy environment tech industry seems unhelpful actually discussing thing like  ,0.7096,Positive,United States of America
.,.,,,.,,,,1,,.,,,,,,,,,,,,          ,0,Neutral,United States of America
I've been told not to disclose by a disability advisor and doctors. I've had issues with my last two employers because of it. It's hard to decide between potentially not getting a job because of it and avoiding a work environment that wouldn't be supportive. If I did bring it up it would be a vague reference because it's why I work in healthcare and research. ,I have PTSD. People are always curious why since I'm not a veteran. I was abused as a child and sexually assaulted. My biggest triggers are aggressive or sexual men and feeling trapped. I don't think that would go over well as a female developer in tech. ,,,,I was dealing with a poor work environment and a lot of microaggressions/overt sexism and ableism from the C level of the startup I was at. It was making my PTSD worse. I went to HR but she couldn't do anything. She was mostly concerned I might sue over things that had happened. I ended up leaving on disability before I quit completely. ,I had other coworkers with mental health issues. Sometimes it was explaining that non veterans can have PTSD. A few people knew I was going to therapy regularly. ,What had happened in the past and what kind of treatment or activities helped them manage their mental health. ,"Improve diversity and inclusion. Many of the people with mental health issues also have trauma from their identities. 

Make sure people have adequate vacation, growth possibilities/interests and that there aren't other employees who are harassing them or not contributing to work without consequence. Transparency and vulnerability has to come from leaders in order to have a diverse, psychologically safe tech culture. ","A friend of mine committed suicide and when I quit my job right after, my former boss said that I was going to do the same. I like that this question is framed in the singular, that's the response that sticks out but I'm sure there's others.  ",The beginning question was either self employed or asked you about the size of your company. I'm unemployed right now as I recently finished long term disability. To recover from mental health issues. There should be a space for people who have been in tech or will go back but are prioritizing their health. Thank you for doing this!,ive told disclose disability advisor doctor ive issue last two employer hard decide potentially getting job avoiding work environment wouldnt supportive bring would vague reference work healthcare research,ptsd people always curious since im veteran abused child sexually assaulted biggest trigger aggressive sexual men feeling trapped dont think would go well female developer tech,,,,dealing poor work environment lot microaggressionsovert sexism ableism c level startup making ptsd worse went hr couldnt anything mostly concerned might sue thing happened ended leaving disability quit completely,coworkers mental health issue sometimes explaining non veteran ptsd people knew going therapy regularly,happened past kind treatment activity helped manage mental health,improve diversity inclusion many people mental health issue also trauma identity make sure people adequate vacation growth possibilitiesinterests arent employee harassing contributing work without consequence transparency vulnerability come leader order diverse psychologically safe tech culture,friend mine committed suicide quit job right former bos said going like question framed singular thats response stick im sure there others,beginning question either self employed asked size company im unemployed right recently finished long term disability recover mental health issue space people tech go back prioritizing health thank,ive told disclose disability advisor doctor ive issue last two employer hard decide potentially getting job avoiding work environment wouldnt supportive bring would vague reference work healthcare research ptsd people always curious since im veteran abused child sexually assaulted biggest trigger aggressive sexual men feeling trapped dont think would go well female developer tech    dealing poor work environment lot microaggressionsovert sexism ableism c level startup making ptsd worse went hr couldnt anything mostly concerned might sue thing happened ended leaving disability quit completely coworkers mental health issue sometimes explaining non veteran ptsd people knew going therapy regularly happened past kind treatment activity helped manage mental health improve diversity inclusion many people mental health issue also trauma identity make sure people adequate vacation growth possibilitiesinterests arent employee harassing contributing work without consequence transparency vulnerability come leader order diverse psychologically safe tech culture friend mine committed suicide quit job right former bos said going like question framed singular thats response stick im sure there others beginning question either self employed asked size company im unemployed right recently finished long term disability recover mental health issue space people tech go back prioritizing health thank,0.5759,Positive,United States of America
They would not hire me because of that,Same as before,,,,,,,,,,would hire,,,,,,,,,,,would hire          ,0,Neutral,Ethiopia
Depends if it would effect my ability to do the job or not. ,Stigma. ,I had to ask for my schedule to be adjusted to attended intensive outpatient and my company was very supportive ,My coworkers know my mental health is in a rough spot and they have all asked what they can do to help. They are very supportive ,I’ve had coworkers tell me they were depressed or anxious. ,,,Coworkers confided in me about their mental health. ,Just breaking the stigma. ,,,depends would effect ability job,stigma,ask schedule adjusted attended intensive outpatient company supportive,coworkers know mental health rough spot asked help supportive,ive coworkers tell depressed anxious,,,coworkers confided mental health,breaking stigma,,,depends would effect ability job stigma ask schedule adjusted attended intensive outpatient company supportive coworkers know mental health rough spot asked help supportive ive coworkers tell depressed anxious   coworkers confided mental health breaking stigma  ,0.4767,Positive,United Kingdom
It's not applicable to the type of job that I'd be doing.,"It's a personal issue that should not matter to an employer, plus fear that it would be taken negatively.",,,Coworker told me about their anxiety issues and some of the triggers.,,,,,,,applicable type job id,personal issue matter employer plus fear would taken negatively,,,coworker told anxiety issue trigger,,,,,,,applicable type job id personal issue matter employer plus fear would taken negatively   coworker told anxiety issue trigger      ,-0.5859,Negative,India
Concerns it would subconsciously influence them. ,Concerns it would subconsciously influence them. ,I talked about my own history of depression in the context of a junior colleague who is struggling due to anxiety. The reaction was neutral. ,"Discussion with coworker about anxiety when she has struggled, and about medication with her and a former coworker, all of us comparing what we were taking. ","Coworker struggling with anxiety, discussions around meds and also general concerns of how it’s affecting work. ",,Can’t recall. ,Discussed a former coworkers addiction issues and how it was impacting others. ,"Not fetishize the asocial, poorly behaved male coder stereotype ",Addiction and depression enabled and ignored. ,,concern would subconsciously influence,concern would subconsciously influence,talked history depression context junior colleague struggling due anxiety reaction neutral,discussion coworker anxiety struggled medication former coworker u comparing taking,coworker struggling anxiety discussion around med also general concern affecting work,,cant recall,discussed former coworkers addiction issue impacting others,fetishize asocial poorly behaved male coder stereotype,addiction depression enabled ignored,,concern would subconsciously influence concern would subconsciously influence talked history depression context junior colleague struggling due anxiety reaction neutral discussion coworker anxiety struggled medication former coworker u comparing taking coworker struggling anxiety discussion around med also general concern affecting work  cant recall discussed former coworkers addiction issue impacting others fetishize asocial poorly behaved male coder stereotype addiction depression enabled ignored ,-0.9686,Negative,United States of America
"Employers can't legally discriminate based on medical issues, but everyone knows that they do.",I would be concerned they'd discriminate against me.,,"I've talked about my anxiety/panic issues with some coworkers. None of them reacted negatively, but some were more supportive than others.","Some coworkers are open about mental health issues, but many are not. Some are more comfortable talking to me about it after they've learned I've dealt with anxiety.",,,,Make mental healthcare coverage standard in insurance. Work to end stigma.,"I worked for a company that had a very aggressive, faced paced culture. Any health issues were viewed very negatively. I had more than one manager tell me I didn't have a future with the company.",,employer cant legally discriminate based medical issue everyone know,would concerned theyd discriminate,,ive talked anxietypanic issue coworkers none reacted negatively supportive others,coworkers open mental health issue many comfortable talking theyve learned ive dealt anxiety,,,,make mental healthcare coverage standard insurance work end stigma,worked company aggressive faced paced culture health issue viewed negatively one manager tell didnt future company,,employer cant legally discriminate based medical issue everyone know would concerned theyd discriminate  ive talked anxietypanic issue coworkers none reacted negatively supportive others coworkers open mental health issue many comfortable talking theyve learned ive dealt anxiety    make mental healthcare coverage standard insurance work end stigma worked company aggressive faced paced culture health issue viewed negatively one manager tell didnt future company ,-0.0475,Neutral,Canada
I am over 60 and would bring it up to assure them of my overall good physical health.,I wouldn't know them well enough to trust them with that information.,"I witnessed a shooting/murder outside our office and had several months of difficult mental state. The employer was supportive and understanding. The health plan provided only one telephone call with a psychologist and then online only ""support"". Pretty useless.",Two topics: 1) related to witnessing a murder; 2) with a few co-workers discussing depression & anxiety issues.,,,,,Too many tech industry leaders/managers are bullies. That and teh bro atmosphere at so many places are a block to effective mental health support.,,,would bring assure overall good physical health,wouldnt know well enough trust information,witnessed shootingmurder outside office several month difficult mental state employer supportive understanding health plan provided one telephone call psychologist online support pretty useless,two topic related witnessing murder coworkers discussing depression anxiety issue,,,,,many tech industry leadersmanagers bully teh bro atmosphere many place block effective mental health support,,,would bring assure overall good physical health wouldnt know well enough trust information witnessed shootingmurder outside office several month difficult mental state employer supportive understanding health plan provided one telephone call psychologist online support pretty useless two topic related witnessing murder coworkers discussing depression anxiety issue     many tech industry leadersmanagers bully teh bro atmosphere many place block effective mental health support  ,-0.2057,Negative,Mexico
Depends on if I thought it would affect my chances of getting the job.,It seems likely to reduce my chances of being offered the job.,,,,,,"We talked about my coworker going to therapy, and dealing with various mental health issues. ","Talk about it, ever. Stop hiring and supporting abusive ""geniuses"". Understand concepts like the psychological contract between employees and employers. Understand and actively support diversity and inclusion efforts. Check in on your under-represented and marginalized employees. Make sure they're making friends at work, they're comfortable in their work space, they know who they can talk to. ",,I would guess that these issues disproportionately affect individuals who are otherwise marginalized or under-represented in tech/oss.  I would have appreciated questions about that.,depends thought would affect chance getting job,seems likely reduce chance offered job,,,,,,talked coworker going therapy dealing various mental health issue,talk ever stop hiring supporting abusive genius understand concept like psychological contract employee employer understand actively support diversity inclusion effort check underrepresented marginalized employee make sure theyre making friend work theyre comfortable work space know talk,,would guess issue disproportionately affect individual otherwise marginalized underrepresented techoss would appreciated question,depends thought would affect chance getting job seems likely reduce chance offered job      talked coworker going therapy dealing various mental health issue talk ever stop hiring supporting abusive genius understand concept like psychological contract employee employer understand actively support diversity inclusion effort check underrepresented marginalized employee make sure theyre making friend work theyre comfortable work space know talk  would guess issue disproportionately affect individual otherwise marginalized underrepresented techoss would appreciated question,0.9524,Positive,United States of America
