Why or why not?,Why or why not?.1,"Describe the conversation you had with your employer about your mental health, including their reactions and what actions were taken to address your mental health issue/questions.",Describe the conversation with coworkers you had about your mental health including their reactions.,Describe the conversation your coworker had with you about their mental health (please do not use names).,"Describe the conversation you had with your previous employer about your mental health, including their reactions and actions taken to address your mental health issue/questions.",Describe the conversation you had with your previous coworkers about your mental health including their reactions.,Describe the conversation your coworker had with you about their mental health (please do not use names)..1,Briefly describe what you think the industry as a whole and/or employers could do to improve mental health support for employees.,Describe the circumstances of the badly handled or unsupportive response.,"If there is anything else you would like to tell us that has not been covered by the survey questions, please use this space to do so.",Why or why not?_cleaned,Why or why not?.1_cleaned,"Describe the conversation you had with your employer about your mental health, including their reactions and what actions were taken to address your mental health issue/questions._cleaned",Describe the conversation with coworkers you had about your mental health including their reactions._cleaned,Describe the conversation your coworker had with you about their mental health (please do not use names)._cleaned,"Describe the conversation you had with your previous employer about your mental health, including their reactions and actions taken to address your mental health issue/questions._cleaned",Describe the conversation you had with your previous coworkers about your mental health including their reactions._cleaned,Describe the conversation your coworker had with you about their mental health (please do not use names)..1_cleaned,Briefly describe what you think the industry as a whole and/or employers could do to improve mental health support for employees._cleaned,Describe the circumstances of the badly handled or unsupportive response._cleaned,"If there is anything else you would like to tell us that has not been covered by the survey questions, please use this space to do so._cleaned",combined_text,sentiment_score,sentiment_label,country
It benefits both me and my employer to disclose a physical health issue that I may require special assistance with in order do do my work or to get around safely. ,"As ridiculous as it sounds after the answer to the previous question about physical conditions, I would not disclose any mental health issues in an interview because a potential employer may think I will not be capable of doing the work if they perceive me to be troubled. I believe a physical condition, which is visible and can be easily understood, would be more acceptable than an illness or disorder that cannot be seen and that potential employers may not even believe I actually have. ",I spoke with my director at length about grief and my experience with it. Their reaction was sympathetic and comforting and they suggested a mental health professional they knew personally that I could talk to. It should be noted that I have a very close relationship with my director and would not have felt comfortable having a conversation like it with any other leader or manager in the company.,"I am very close with many members of my small team. We are really open with each other and spend a lot of time together outside of work. During these extracurriculars, we discuss personal matters at length. I've discussed grief, depression, focus issues, anxiety, and many other mental health related issues I have experienced. We seek out these kinds of meaningful conversations with each other and comfort each other when appropriate. I feel as comfortable discussing these subjects with my smaller team and I do with my closest friends. ",I have had a handful of co-workers tell me about their struggles with depression. I am aware of several of my co-workers taking prescription medication to help with their mental health disorders. They have openly discussed this with me. Not all my co-workers would feel comfortable with this but my closest team members have a pretty healthy culture. ,,,,Tech is an industry that I believe neuro-diversr people are given more opportunities to thrive in than many other industries. I wish that that same acceptance and attitude was directed at individuals suffering from disorders and mental health issues. ,,,benefit employer disclose physical health issue may require special assistance order work get around safely,ridiculous sound answer previous question physical condition would disclose mental health issue interview potential employer may think capable work perceive troubled believe physical condition visible easily understood would acceptable illness disorder seen potential employer may even believe actually,spoke director length grief experience reaction sympathetic comforting suggested mental health professional knew personally could talk noted close relationship director would felt comfortable conversation like leader manager company,close many member small team really open spend lot time together outside work extracurriculars discus personal matter length ive discussed grief depression focus issue anxiety many mental health related issue experienced seek kind meaningful conversation comfort appropriate feel comfortable discussing subject smaller team closest friend,handful coworkers tell struggle depression aware several coworkers taking prescription medication help mental health disorder openly discussed coworkers would feel comfortable closest team member pretty healthy culture,,,,tech industry believe neurodiversr people given opportunity thrive many industry wish acceptance attitude directed individual suffering disorder mental health issue,,,benefit employer disclose physical health issue may require special assistance order work get around safely ridiculous sound answer previous question physical condition would disclose mental health issue interview potential employer may think capable work perceive troubled believe physical condition visible easily understood would acceptable illness disorder seen potential employer may even believe actually spoke director length grief experience reaction sympathetic comforting suggested mental health professional knew personally could talk noted close relationship director would felt comfortable conversation like leader manager company close many member small team really open spend lot time together outside work extracurriculars discus personal matter length ive discussed grief depression focus issue anxiety many mental health related issue experienced seek kind meaningful conversation comfort appropriate feel comfortable discussing subject smaller team closest friend handful coworkers tell struggle depression aware several coworkers taking prescription medication help mental health disorder openly discussed coworkers would feel comfortable closest team member pretty healthy culture    tech industry believe neurodiversr people given opportunity thrive many industry wish acceptance attitude directed individual suffering disorder mental health issue  ,0.975,Positive,United States of America
cannot show weakness,,,,,,,,"have some periodic func activities. And have an doctor one to one meeting with an employee , once per year",,,show weakness,,,,,,,,periodic func activity doctor one one meeting employee per year,,,show weakness        periodic func activity doctor one one meeting employee per year  ,-0.4215,Negative,Italy
I will be intersted on share a phisical health problems if i need some adaptations to execute the work.,I will became a little bit ashamed of potential missunderstood interpretations of my problem and the capabilities to execute the work,,,,,,,make discussions about that. provide a balanced rythm of workers with mental health disorder/issues,,,intersted share phisical health problem need adaptation execute work,became little bit ashamed potential missunderstood interpretation problem capability execute work,,,,,,,make discussion provide balanced rythm worker mental health disorderissues,,,intersted share phisical health problem need adaptation execute work became little bit ashamed potential missunderstood interpretation problem capability execute work       make discussion provide balanced rythm worker mental health disorderissues  ,-0.7203,Negative,United States of America
Depends how I feeling in the moment,"Again, depends, principally how the interviewer is leading the conversation",,"I talked (superficially) about my concerns and how I have not felt so well in recent weeks, very stressed and with many sad moments, frustrated with my professional position and financial problems. The person that I spoke, said understand me and tried to help me relax and control the situation, he told that I needed professional help.",,,,,,,"We must not forget that maybe tech / IT is the industry that has the most workers with some mental issue, e.g TDHD and Autism, because there are advantages in some of these disorders, making people more efficient in some functions than in this industry, that requires such skills.",depends feeling moment,depends principally interviewer leading conversation,,talked superficially concern felt well recent week stressed many sad moment frustrated professional position financial problem person spoke said understand tried help relax control situation told needed professional help,,,,,,,must forget maybe tech industry worker mental issue eg tdhd autism advantage disorder making people efficient function industry requires skill,depends feeling moment depends principally interviewer leading conversation  talked superficially concern felt well recent week stressed many sad moment frustrated professional position financial problem person spoke said understand tried help relax control situation told needed professional help       must forget maybe tech industry worker mental issue eg tdhd autism advantage disorder making people efficient function industry requires skill,-0.128,Negative,United States of America
would have to read the room,have to read the room,.,.,.,,,,.,,"
",would read room,read room,,,,,,,,,,would read room read room         ,0,Neutral,United States of America
não apresentaria porque poderia me prejudicar muito.,"porque poderia me prejudicar muito, nessa vaga ou nas futuras",durante o feedback falei para ele que estava passando por problemas pessoais e quando comecei a falar mais sobre ele me interrompeu. E então a conversa sobre acabou ,,"Um colega foi diagnosticado com TDHA e ficou afastado um período, quando voltou ele sempre usa do humor para falar do assunto parece um mecanismo de defesa. A maioria dos colegas ignora mas alguns que entende um pouco sobre o assunto conversa brevemente.",,relatei a ele que estava com problema de ansiedade e ele fez questão de compartilhar suas vivencias na área para me auxiliar.,,poderiam nos tratar menos como maquinas e mais como pessoas. O capitalismo no geral nos força a ser extremamente produtivo e nas áreas de TI essa pressão é ainda maior,,não tenho,não apresentaria porque poderia prejudicar muito,porque poderia prejudicar muito nessa vaga ou na futuras,durante feedback falei para ele que estava passando por problemas pessoais e quando comecei falar mais sobre ele interrompeu e então conversa sobre acabou,,um colega foi diagnosticado com tdha e ficou afastado um período quando voltou ele sempre usa humor para falar assunto parece um mecanismo de defesa maioria do colegas ignora ma alguns que entende um pouco sobre assunto conversa brevemente,,relatei ele que estava com problema de ansiedade e ele fez questão de compartilhar suas vivencias na área para auxiliar,,poderiam no tratar menos como maquinas e mais como pessoas capitalismo geral no força ser extremamente produtivo e na áreas de ti essa pressão é ainda maior,,não tenho,não apresentaria porque poderia prejudicar muito porque poderia prejudicar muito nessa vaga ou na futuras durante feedback falei para ele que estava passando por problemas pessoais e quando comecei falar mais sobre ele interrompeu e então conversa sobre acabou  um colega foi diagnosticado com tdha e ficou afastado um período quando voltou ele sempre usa humor para falar assunto parece um mecanismo de defesa maioria do colegas ignora ma alguns que entende um pouco sobre assunto conversa brevemente  relatei ele que estava com problema de ansiedade e ele fez questão de compartilhar suas vivencias na área para auxiliar  poderiam no tratar menos como maquinas e mais como pessoas capitalismo geral no força ser extremamente produtivo e na áreas de ti essa pressão é ainda maior  não tenho,-0.3182,Negative,New Zealand
,it would look bad,,,,,,,,,,,would look bad,,,,,,,,,, would look bad         ,-0.5423,Negative,United States of America
,Probably they won't accept it,,,,,,,,,,,probably wont accept,,,,,,,,,, probably wont accept         ,-0.2924,Negative,United States of America
,,,,,,,,"When there's an elephant in the room introduce him. The industry has to look at it, not avoid talking about it. Meanwhile, i think people have to  strengthen personality. Maybe when we feel stronger we will change environment around. At last, we are humans not machines.",,,,,,,,,,,there elephant room introduce industry look avoid talking meanwhile think people strengthen personality maybe feel stronger change environment around last human machine,,,        there elephant room introduce industry look avoid talking meanwhile think people strengthen personality maybe feel stronger change environment around last human machine  ,0.4019,Positive,Spain
I think it's important to know what the employer will have to support if I need it.,I believe companies are not prepared.,I had anxiety crisis,"The importance of playing sports, being with the family, practicing yoga, meditation, psychoanalysis and, if necessary, getting medication prescribed by a good doctor.","anxiety, attention deficit",,Anxiety in general people are unaware of the subject.,"
anxiety, panic syndrome","Talking about, always",When I had an anxiety attack and was away from work for a week,"Thank you so much for knowing your work. Please speak at events around the world, including Brazil. In Brazil count on me to talk about. This subject matters a lot",think important know employer support need,believe company prepared,anxiety crisis,importance playing sport family practicing yoga meditation psychoanalysis necessary getting medication prescribed good doctor,anxiety attention deficit,,anxiety general people unaware subject,anxiety panic syndrome,talking always,anxiety attack away work week,thank much knowing work please speak event around world including brazil brazil count talk subject matter lot,think important know employer support need believe company prepared anxiety crisis importance playing sport family practicing yoga meditation psychoanalysis necessary getting medication prescribed good doctor anxiety attention deficit  anxiety general people unaware subject anxiety panic syndrome talking always anxiety attack away work week thank much knowing work please speak event around world including brazil brazil count talk subject matter lot,-0.6124,Negative,Germany
"if that issue would interfere in my work, i will be willing to do that ",because I don't have the sufficient familiarity with that interviewer to do that,I said that I was facing some problems. I said I needed an therapy about my time management. My employer just said I needed relax. I felt that he wanted to say I was just overstating,I said my body was reacting  (blood pressure) my mental problems. They were just  surprised,"as a matter of fact, we don't had a discuss, they just did some jokes about it, and I stayed shut up because discuss at that moment wouldn't solve anything ",,,,,they just made some jokes about the person who had mental disorder,,issue would interfere work willing,dont sufficient familiarity interviewer,said facing problem said needed therapy time management employer said needed relax felt wanted say overstating,said body reacting blood pressure mental problem surprised,matter fact dont discus joke stayed shut discus moment wouldnt solve anything,,,,,made joke person mental disorder,,issue would interfere work willing dont sufficient familiarity interviewer said facing problem said needed therapy time management employer said needed relax felt wanted say overstating said body reacting blood pressure mental problem surprised matter fact dont discus joke stayed shut discus moment wouldnt solve anything     made joke person mental disorder ,-0.8302,Negative,Italy
"Well, at least here in Brazil there are an amount of positions for people with physical issues, so companies tend to take that well",It's still something that most people don't understand and tend to judge,,,Talk about anxiety and work pressure relation that lead him to depression,"The only place i felt comfortable to talk, they gave me a 2 month paid leave to recover and made sure that what caused the stress was solved",Supportive as they had gone through something similar,,"IT in general is a Very demanding area, and specially on some cases having no work/life balance is mandatory",Got fired,,well least brazil amount position people physical issue company tend take well,still something people dont understand tend judge,,,talk anxiety work pressure relation lead depression,place felt comfortable talk gave month paid leave recover made sure caused stress solved,supportive gone something similar,,general demanding area specially case worklife balance mandatory,got fired,,well least brazil amount position people physical issue company tend take well still something people dont understand tend judge   talk anxiety work pressure relation lead depression place felt comfortable talk gave month paid leave recover made sure caused stress solved supportive gone something similar  general demanding area specially case worklife balance mandatory got fired ,-0.4019,Negative,Portugal
Not all of us can have enough empathy to understand each other vulnerabilitys,Not all of us have enough empathy and openness to understand in a interview this kind of problems,,,,,,,I think that's openness and liberty to bring up those kind of conversation is a great way to start this support,,No,u enough empathy understand vulnerability,u enough empathy openness understand interview kind problem,,,,,,,think thats openness liberty bring kind conversation great way start support,,,u enough empathy understand vulnerability u enough empathy openness understand interview kind problem       think thats openness liberty bring kind conversation great way start support  ,0.9531,Positive,United States of America
It’s required by law and might require adaptations to the workplace. ,Might not be nicely received.,I told about my tdah condition. It was received naturally. ,,,,,,Understand each case and seek the best options. ,,.,required law might require adaptation workplace,might nicely received,told tdah condition received naturally,,,,,,understand case seek best option,,,required law might require adaptation workplace might nicely received told tdah condition received naturally      understand case seek best option  ,0.7964,Positive,United States of America
Obviously they will not hire me,They wil not hire me,,,,,,,"Home office, life quality",,,obviously hire,wil hire,,,,,,,home office life quality,,,obviously hire wil hire       home office life quality  ,0,Neutral,United States of America
i am afraid it'll be affected to myself in workplace,i'm afraid it'll be affected to me in workplace,,,,,,,-,,-,afraid itll affected workplace,im afraid itll affected workplace,,,,,,,,,,afraid itll affected workplace im afraid itll affected workplace         ,-0.296,Negative,Canada
"Physical health is a lot easier to explain, and have sympathy for. Mental health may or may not be treated with fairness from my experience.","At this point, my mental health is more important than my career. I think if I needed to discuss why mental health at all during an interview, I would talk about my own experiences.","I told my manager I was going to therapy. He was supportive, and didn't spread the information without considering my feelings. He made sure I knew what the boundaries were so I didn't put him in a position where he would have to tell our management team.","I told my coworker that I was going to therapy for anxiety, and I told that same coworker my therapist had been suggestion I might have Generalized Anxiety Disorder. He was mostly supportive. He did seem surprised that I was suffering and tried to comfort me.",,"I had told my soon to be engineering manager that I had a lot of anxiety and had been stressing myself out to the point of not being able to produce anything anymore. He encouraged me to relax and take time off. This was before I started therapy, so it seemed to be a one off thing for them, even though I knew it wasn't the first tim.e",,,"Make psychological safety more important than producing results, and take time to check in with employees to see if they need help or breaks. ",,,physical health lot easier explain sympathy mental health may may treated fairness experience,point mental health important career think needed discus mental health interview would talk experience,told manager going therapy supportive didnt spread information without considering feeling made sure knew boundary didnt put position would tell management team,told coworker going therapy anxiety told coworker therapist suggestion might generalized anxiety disorder mostly supportive seem surprised suffering tried comfort,,told soon engineering manager lot anxiety stressing point able produce anything anymore encouraged relax take time started therapy seemed one thing even though knew wasnt first time,,,make psychological safety important producing result take time check employee see need help break,,,physical health lot easier explain sympathy mental health may may treated fairness experience point mental health important career think needed discus mental health interview would talk experience told manager going therapy supportive didnt spread information without considering feeling made sure knew boundary didnt put position would tell management team told coworker going therapy anxiety told coworker therapist suggestion might generalized anxiety disorder mostly supportive seem surprised suffering tried comfort  told soon engineering manager lot anxiety stressing point able produce anything anymore encouraged relax take time started therapy seemed one thing even though knew wasnt first time   make psychological safety important producing result take time check employee see need help break  ,0.9341,Positive,Canada
Negative effect,Negative effect,,,,,,,Supportive talks,.,.,negative effect,negative effect,,,,,,,supportive talk,,,negative effect negative effect       supportive talk  ,-0.7351,Negative,United States of America
They may not take it positively and my chances of getting the job mey be hampered,Chances of getting the job may be hampered,,,,,I told my coworker that I was going through depression and that he was very supportive of the medication that I was undertaking at that time.,Did not speak of it clearly but left slight hints in the conversations we would have during lunch or short breaks,Make sure that the person is not burdened with too much work and the expectations are set real while helping him grow in the desired field,The person was layed off the company stating rubbish reasons,,may take positively chance getting job mey hampered,chance getting job may hampered,,,,,told coworker going depression supportive medication undertaking time,speak clearly left slight hint conversation would lunch short break,make sure person burdened much work expectation set real helping grow desired field,person layed company stating rubbish reason,,may take positively chance getting job mey hampered chance getting job may hampered     told coworker going depression supportive medication undertaking time speak clearly left slight hint conversation would lunch short break make sure person burdened much work expectation set real helping grow desired field person layed company stating rubbish reason ,0.8591,Positive,Ireland
physical issue is considered okay and drags sympathy. while mental illness is a taboo.,"nobody wants to work with mad ppl who, as portrayed in arts and movies as eccentrics who breaks things, tvs, glasses and what not.","issue is about promotion. they make me work more and pay less. this been years which had eventually made this happening. also, racism and visible biase - are few reasons i see. ",,,,,,"better time and money management. less racism overall and particularly indian brahmin concepts. if girls could fake love boys for some time with the contract signed, that too will help.",i was found drunk in office and i was not allowed to capture a pic in an office. both were not supported since i was in the same manic episode. ,"denial of a role change or promotion is something my company is doing on this behalf. they make me work like hell, but pays sad. you havent asked about sleep patterns yet. you should cover that. ",physical issue considered okay drag sympathy mental illness taboo,nobody want work mad ppl portrayed art movie eccentric break thing tv glass,issue promotion make work pay less year eventually made happening also racism visible biase reason see,,,,,,better time money management less racism overall particularly indian brahmin concept girl could fake love boy time contract signed help,found drunk office allowed capture pic office supported since manic episode,denial role change promotion something company behalf make work like hell pay sad havent asked sleep pattern yet cover,physical issue considered okay drag sympathy mental illness taboo nobody want work mad ppl portrayed art movie eccentric break thing tv glass issue promotion make work pay less year eventually made happening also racism visible biase reason see      better time money management less racism overall particularly indian brahmin concept girl could fake love boy time contract signed help found drunk office allowed capture pic office supported since manic episode denial role change promotion something company behalf make work like hell pay sad havent asked sleep pattern yet cover,-0.9136,Negative,France
I need a weight limit for lifting. ,Too stigmatized ,,,,,"Stigmatized. No idea what bipolar really meant. Judgemental, brushed it off.",,No idea,Didnt care,,need weight limit lifting,stigmatized,,,,,stigmatized idea bipolar really meant judgemental brushed,,idea,didnt care,,need weight limit lifting stigmatized     stigmatized idea bipolar really meant judgemental brushed  idea didnt care ,-0.3875,Negative,Canada
It's not their business unless it interferes with my ability to work,Not relevant unless it interferes with job ability,Told him I was suicidal,Talked about struggle with depression,,,,,,,,business unless interferes ability work,relevant unless interferes job ability,told suicidal,talked struggle depression,,,,,,,,business unless interferes ability work relevant unless interferes job ability told suicidal talked struggle depression       ,-0.7845,Negative,Canada
"There are only two broad categorization here which is sad, crazy and normal , if you want a job better not tell",I wouldn't want to bring it up because that would result in me not being the Preferred candidate for the job,,,,,,,I have no idea.,,,two broad categorization sad crazy normal want job better tell,wouldnt want bring would result preferred candidate job,,,,,,,idea,,,two broad categorization sad crazy normal want job better tell wouldnt want bring would result preferred candidate job       idea  ,-0.25,Negative,Algeria
not relevant to the task at hand (evaluating my skills as a data scientist),"again, not relevant to my skills as a data scientist",,,negative emotions and coping behaviors related to acutely stressful incident (divorce),,,,be more open and transparent by actively organizing and leading discussion,,,relevant task hand evaluating skill data scientist,relevant skill data scientist,,,negative emotion coping behavior related acutely stressful incident divorce,,,,open transparent actively organizing leading discussion,,,relevant task hand evaluating skill data scientist relevant skill data scientist   negative emotion coping behavior related acutely stressful incident divorce    open transparent actively organizing leading discussion  ,-0.3612,Negative,Hong Kong
Wouldn't want an employer to think it might be a drain on the health benefits or miss work.,"NO. NEVER. Stigma. Don't want to be asked about it. Don't want it to color their estimation of my work. Don't want, if I miss a day or am late or anything (for whatever reason) it to be construed as being due to mental health.",,,,"Manager was aware of my issues. That information was used against me later, along with physical health issues. I was fired over asking for time off to recover from a surgery.",,,There's a lot of talk about it but _hello?!_ I'm right here - and I have NEVER felt supported. It needs to not just be talk or a press release.,,The workplace in general still frowns on anyone who isn't 110% able-bodied or dedicated to the company.,wouldnt want employer think might drain health benefit miss work,never stigma dont want asked dont want color estimation work dont want miss day late anything whatever reason construed due mental health,,,,manager aware issue information used later along physical health issue fired asking time recover surgery,,,there lot talk _hello_ im right never felt supported need talk press release,,workplace general still frown anyone isnt ablebodied dedicated company,wouldnt want employer think might drain health benefit miss work never stigma dont want asked dont want color estimation work dont want miss day late anything whatever reason construed due mental health    manager aware issue information used later along physical health issue fired asking time recover surgery   there lot talk _hello_ im right never felt supported need talk press release  workplace general still frown anyone isnt ablebodied dedicated company,-0.7981,Negative,United States of America
they dont need to know,itès none of their business,,,,,,,it's over hyped,,,dont need know,itès none business,,,,,,,hyped,,,dont need know itès none business       hyped  ,0,Neutral,United States of America
"If it will affect my work, I'll bring it up",There's too much of a stigma against mental illness,,,,,,,Stop glorifying overwork and stress,Many of the staff are overworked and burning out with no support to mental wellbeing ,,affect work ill bring,there much stigma mental illness,,,,,,,stop glorifying overwork stress,many staff overworked burning support mental wellbeing,,affect work ill bring there much stigma mental illness       stop glorifying overwork stress many staff overworked burning support mental wellbeing ,-0.5267,Negative,United States of America
If this is something major that will affect my work then I would tell them.,"I feel like if I brought up a mental health issue, this would decrease my chances of getting the job.",,,They pulled me aside to chat about how I was doing and they brought up that they had dealt with depression.,,,,"I think there should be groups dedicated to supporting mental health in the workplace, like how there are groups to address diversity and inclusion. There should be sessions to inform employees of mental health issues and go over what the company offers to help with these issues. Mental health should be brought up more so it’s not so taboo.",,"The survey asked if I had a mental health disorder which I don’t since I haven’t been diagnosed, but it should ask if I think I might have a mental health issue which is more likely.",something major affect work would tell,feel like brought mental health issue would decrease chance getting job,,,pulled aside chat brought dealt depression,,,,think group dedicated supporting mental health workplace like group address diversity inclusion session inform employee mental health issue go company offer help issue mental health brought taboo,,survey asked mental health disorder dont since havent diagnosed ask think might mental health issue likely,something major affect work would tell feel like brought mental health issue would decrease chance getting job   pulled aside chat brought dealt depression    think group dedicated supporting mental health workplace like group address diversity inclusion session inform employee mental health issue go company offer help issue mental health brought taboo  survey asked mental health disorder dont since havent diagnosed ask think might mental health issue likely,0.802,Positive,United States of America
"Chronic pain can be perceived negatively, but it also requires physical accommodation.",I would be perceived negatively.,,,,"I revealed that I was having daily panic attacks on the way to work and having a difficult time coming in. They were not very understanding. Henceforth, I've never mentioned mental health issues specifically when needing time off for it.",,Mentioned a family member's depression.,"Tech industry work culture is at its basis still a machismo culture. If you can't pull your capitalist weight at all times, you aren't valuef. Unless this fundamentally shifts, the environment will remain unsupportive.","The situation I described earlier, where daily panic attacks interfering with my ability to get to work were viewed as an inconvenience to my employer.","My employer got acquired by a corporation that doesn't provide separate sick leave and vacation time, only a reduced pool of combined PTO hours, so I'm thinking of leaving this job.",chronic pain perceived negatively also requires physical accommodation,would perceived negatively,,,,revealed daily panic attack way work difficult time coming understanding henceforth ive never mentioned mental health issue specifically needing time,,mentioned family member depression,tech industry work culture basis still machismo culture cant pull capitalist weight time arent valuef unless fundamentally shift environment remain unsupportive,situation described earlier daily panic attack interfering ability get work viewed inconvenience employer,employer got acquired corporation doesnt provide separate sick leave vacation time reduced pool combined pto hour im thinking leaving job,chronic pain perceived negatively also requires physical accommodation would perceived negatively    revealed daily panic attack way work difficult time coming understanding henceforth ive never mentioned mental health issue specifically needing time  mentioned family member depression tech industry work culture basis still machismo culture cant pull capitalist weight time arent valuef unless fundamentally shift environment remain unsupportive situation described earlier daily panic attack interfering ability get work viewed inconvenience employer employer got acquired corporation doesnt provide separate sick leave vacation time reduced pool combined pto hour im thinking leaving job,-0.9638,Negative,United Kingdom
If I felt that there was an issue that might interfere with my being able to do the job.,I do not think that I would get hired if I brought it up.,,"I made an allusion to ADHD, and she made a similar, equally non-committal response.",,"I explained to my supervisor that I have severe depression, and she thanked me for telling her. There was no other action taken regarding the matter. It was not ever discussed with me again.",,,I am not certain.,"Over the years I've heard a number of disparaging or mocking comments made regarding people with mental health issues, and seen a general lack of understanding from people who don't have to deal with these illnesses.",,felt issue might interfere able job,think would get hired brought,,made allusion adhd made similar equally noncommittal response,,explained supervisor severe depression thanked telling action taken regarding matter ever discussed,,,certain,year ive heard number disparaging mocking comment made regarding people mental health issue seen general lack understanding people dont deal illness,,felt issue might interfere able job think would get hired brought  made allusion adhd made similar equally noncommittal response  explained supervisor severe depression thanked telling action taken regarding matter ever discussed   certain year ive heard number disparaging mocking comment made regarding people mental health issue seen general lack understanding people dont deal illness ,-0.7809,Negative,United States of America
If the physical issue would actually impact my job performance,If the issue might affect job performance ,,,,,,,Send out an email to all with info on ombré yo contact HR,,,physical issue would actually impact job performance,issue might affect job performance,,,,,,,send email info ombré yo contact hr,,,physical issue would actually impact job performance issue might affect job performance       send email info ombré yo contact hr  ,0,Neutral,United States of America
"Despite legal protection, disclosing such a thing in an interview would lessen my chances of hire. ","Same deal. If they thought I was crazy (heh), I’d be less likely to get an offer. ","It’s really been indecental. Not official. So, understanding. And personally supportive. ",,,,"As before, incidental discussion - as opposed to official. ",,A way to reduce blame. It’s not my fault. And I’m doing the best I can. ,"All too often, there is confusion and an aura of distrust surrounding. ","Often, the difficulty also stems from being able to discuss similar issues regarding my family with coworkers or supervisors. ",despite legal protection disclosing thing interview would lessen chance hire,deal thought crazy heh id less likely get offer,really indecental official understanding personally supportive,,,,incidental discussion opposed official,,way reduce blame fault im best,often confusion aura distrust surrounding,often difficulty also stem able discus similar issue regarding family coworkers supervisor,despite legal protection disclosing thing interview would lessen chance hire deal thought crazy heh id less likely get offer really indecental official understanding personally supportive    incidental discussion opposed official  way reduce blame fault im best often confusion aura distrust surrounding often difficulty also stem able discus similar issue regarding family coworkers supervisor,-0.7558,Negative,United States of America
would depend on how relevant it was to performing the job.,would depend on how relevant it was to performing the job.,,,,,,,I don't know.,,nothing.,would depend relevant performing job,would depend relevant performing job,,,,,,,dont know,,nothing,would depend relevant performing job would depend relevant performing job       dont know  nothing,0,Neutral,United States of America
Generally physical health issues feel easier to justify and explain. ,"Mental health issues are less tangible, but usually feel like they affect my work more than physical issues. I'd be afraid of the health issue skewing the interviewer against me.",,"With a coworker who is also a close friend, I've discussed how depression is making it hard for me to go about my daily business.",,,,,Stop treating mental illness like it's a plague when it's actually very common.,"A person who exhibited several signs of bipolar disorder was treated as if she were crazy, and she was the subject of a lot jokes behind her back.",,generally physical health issue feel easier justify explain,mental health issue less tangible usually feel like affect work physical issue id afraid health issue skewing interviewer,,coworker also close friend ive discussed depression making hard go daily business,,,,,stop treating mental illness like plague actually common,person exhibited several sign bipolar disorder treated crazy subject lot joke behind back,,generally physical health issue feel easier justify explain mental health issue less tangible usually feel like affect work physical issue id afraid health issue skewing interviewer  coworker also close friend ive discussed depression making hard go daily business     stop treating mental illness like plague actually common person exhibited several sign bipolar disorder treated crazy subject lot joke behind back ,-0.2263,Negative,United States of America
It depends upon how relevant the physical illness is to the job or my ability to perform the job.,"Probably not, mostly because of stigma. But if a mental health issue would affect my work directly, I might bring it up.",,,,,,I honestly don't really recall. It was several years ago.,I think the issue is farther reaching than just the tech industry. I don't think we're any better or worse at it than the greater global ciommunity.,,,depends upon relevant physical illness job ability perform job,probably mostly stigma mental health issue would affect work directly might bring,,,,,,honestly dont really recall several year ago,think issue farther reaching tech industry dont think better worse greater global ciommunity,,,depends upon relevant physical illness job ability perform job probably mostly stigma mental health issue would affect work directly might bring      honestly dont really recall several year ago think issue farther reaching tech industry dont think better worse greater global ciommunity  ,0.7226,Positive,United Kingdom
I personally know people who were discriminated against for physical health issues,I know it would hurt me in an interview from the way I've seen employers engage their workforce overall,,,,,,,Provide meaningful access to mental health care (as part of broader health care access) AND stop discriminating/firing employees based on mental health issues alone. ,,"Mental health access or struggles should not excuse abuse or harassment by management. Its a double-standard for employees to get fired or passed over for having such problems, but for managers or higher-up ranking supervisors/C-suite members to use a mental health struggle narrative to excuse and diminish their behavior harming employees",personally know people discriminated physical health issue,know would hurt interview way ive seen employer engage workforce overall,,,,,,,provide meaningful access mental health care part broader health care access stop discriminatingfiring employee based mental health issue alone,,mental health access struggle excuse abuse harassment management doublestandard employee get fired passed problem manager higherup ranking supervisorscsuite member use mental health struggle narrative excuse diminish behavior harming employee,personally know people discriminated physical health issue know would hurt interview way ive seen employer engage workforce overall       provide meaningful access mental health care part broader health care access stop discriminatingfiring employee based mental health issue alone  mental health access struggle excuse abuse harassment management doublestandard employee get fired passed problem manager higherup ranking supervisorscsuite member use mental health struggle narrative excuse diminish behavior harming employee,-0.9524,Negative,United Kingdom
