Why or why not?,Why or why not?.1,"Describe the conversation you had with your employer about your mental health, including their reactions and what actions were taken to address your mental health issue/questions.",Describe the conversation with coworkers you had about your mental health including their reactions.,Describe the conversation your coworker had with you about their mental health (please do not use names).,"Describe the conversation you had with your previous employer about your mental health, including their reactions and actions taken to address your mental health issue/questions.",Describe the conversation you had with your previous coworkers about your mental health including their reactions.,Describe the conversation your coworker had with you about their mental health (please do not use names)..1,Briefly describe what you think the industry as a whole and/or employers could do to improve mental health support for employees.,Describe the circumstances of the badly handled or unsupportive response.,"If there is anything else you would like to tell us that has not been covered by the survey questions, please use this space to do so.",Why or why not?_cleaned,Why or why not?.1_cleaned,"Describe the conversation you had with your employer about your mental health, including their reactions and what actions were taken to address your mental health issue/questions._cleaned",Describe the conversation with coworkers you had about your mental health including their reactions._cleaned,Describe the conversation your coworker had with you about their mental health (please do not use names)._cleaned,"Describe the conversation you had with your previous employer about your mental health, including their reactions and actions taken to address your mental health issue/questions._cleaned",Describe the conversation you had with your previous coworkers about your mental health including their reactions._cleaned,Describe the conversation your coworker had with you about their mental health (please do not use names)..1_cleaned,Briefly describe what you think the industry as a whole and/or employers could do to improve mental health support for employees._cleaned,Describe the circumstances of the badly handled or unsupportive response._cleaned,"If there is anything else you would like to tell us that has not been covered by the survey questions, please use this space to do so._cleaned",combined_text,sentiment_score,sentiment_label,What country do you *work* in?
impacting work,impacting work,,feeling stressed,,,,,be open,,,impacting work,impacting work,,feeling stressed,,,,,open,,,impacting work impacting work  feeling stressed     open  ,-0.2263,Negative,Netherlands
Because any health related issue makes you a less desirable hire,Because any health related issue makes you a less desirable hire,,,,,,,"Change work culture. Billable hours and timesheets are a false and pointless dataset. Work life balance is a sham. Flexibility is a double edged sword. 8 hour work days are arbitrary inventions with a history steeped in human rights movements to prevent capitalist abuse, not grounded in science or a sense of productivity or purpose. Time management and productivity hacking is all a traffic driving click bait farce. We should be adopting target driven business and staff management/ reporting approaches (which hopefully I'll get to build for one day if I don't kill myself first...). We are humans. We are messy and broken and that's supposed to be what makes life glorious, but instead of just quietly pursuing ""enough"", we're chained to our desks in an effort to protect our families well being in a sycophantic attempt to grab the proverbial dangled carrot from whoever sits above us in the food chain, who yells down  ""ENOUGH is just a little bit more"". Personally, I'd rather be dead, but I've got mouths to feed...",,,health related issue make less desirable hire,health related issue make less desirable hire,,,,,,,change work culture billable hour timesheets false pointless dataset work life balance sham flexibility double edged sword hour work day arbitrary invention history steeped human right movement prevent capitalist abuse grounded science sense productivity purpose time management productivity hacking traffic driving click bait farce adopting target driven business staff management reporting approach hopefully ill get build one day dont kill first human messy broken thats supposed make life glorious instead quietly pursuing enough chained desk effort protect family well sycophantic attempt grab proverbial dangled carrot whoever sits u food chain yell enough little bit personally id rather dead ive got mouth feed,,,health related issue make less desirable hire health related issue make less desirable hire       change work culture billable hour timesheets false pointless dataset work life balance sham flexibility double edged sword hour work day arbitrary invention history steeped human right movement prevent capitalist abuse grounded science sense productivity purpose time management productivity hacking traffic driving click bait farce adopting target driven business staff management reporting approach hopefully ill get build one day dont kill first human messy broken thats supposed make life glorious instead quietly pursuing enough chained desk effort protect family well sycophantic attempt grab proverbial dangled carrot whoever sits u food chain yell enough little bit personally id rather dead ive got mouth feed  ,0.0649,Positive,Finland
I i want the job I can't say that I'm sick wether it would be mental or physical illness,same as before,,,,,My previous coworker become one of my best friends so we discussed lots of difficult subjects.,same what I said before,They could provide psychologist sessions available to all employees,,,want job cant say im sick wether would mental physical illness,,,,,,previous coworker become one best friend discussed lot difficult subject,said,could provide psychologist session available employee,,,want job cant say im sick wether would mental physical illness      previous coworker become one best friend discussed lot difficult subject said could provide psychologist session available employee  ,0.7353,Positive,Iceland
It would be suicidal,It would kill my chances,,,,,,,Walk the talk,,No,would suicidal,would kill chance,,,,,,,walk talk,,,would suicidal would kill chance       walk talk  ,-0.8481,Negative,United States of America
"Yes, if that appeared to be accepted as part of the company culture; No otherwise",Same reasons as physical health,During a presentation; supportive,During a meeting; supportive,"At coffee, in response to a previous conversation - discussed cw's anxiety",,With a close friend/coworker; supportive,Coworkers ask me for resources since I'm familiar with several,"Less stigma, more education, more discussion",Coworkers spoke poorly about the person,,yes appeared accepted part company culture otherwise,reason physical health,presentation supportive,meeting supportive,coffee response previous conversation discussed cws anxiety,,close friendcoworker supportive,coworkers ask resource since im familiar several,less stigma education discussion,coworkers spoke poorly person,,yes appeared accepted part company culture otherwise reason physical health presentation supportive meeting supportive coffee response previous conversation discussed cws anxiety  close friendcoworker supportive coworkers ask resource since im familiar several less stigma education discussion coworkers spoke poorly person ,0.8271,Positive,Spain
That would decrease the chances of my employment. They would map it with my productivity.,That would decrease the chances of my employment. They would map it with my productivity.,,We talked about the kind of work we were getting and how stressful wfh is getting.,,,,,I have loans to pay which makes me work harder. Since my employer pays me very little it makes my life uncomfortable to meet my ends. This shall extend my working hours thus affecting my mental health.,,,would decrease chance employment would map productivity,would decrease chance employment would map productivity,,talked kind work getting stressful wfh getting,,,,,loan pay make work harder since employer pay little make life uncomfortable meet end shall extend working hour thus affecting mental health,,,would decrease chance employment would map productivity would decrease chance employment would map productivity  talked kind work getting stressful wfh getting     loan pay make work harder since employer pay little make life uncomfortable meet end shall extend working hour thus affecting mental health  ,0.1689,Positive,Colombia
it depends on the situation,it depends,,,,dont remember,dont remember,,interactive sessions,,na,depends situation,depends,,,,dont remember,dont remember,,interactive session,,na,depends situation depends    dont remember dont remember  interactive session  na,0,Neutral,Netherlands
,hhh,,,,,,,fff,,vv,,hhh,,,,,,,fff,,vv, hhh       fff  vv,0,Neutral,Philippines
Wouldn't want it to affect my credibility in consideration for the role,wouldn't want it to affect my perceived competence in the role,,,,,"talked about each of our struggles with anxiety and panic attacks, coworker had similar experiences as I did and we just discussed how we dealt with that",told me about how anxiety and panic attacks had affected his first job and how we learned to cope with anxiety in a professional setting,"encourage wellness days, encourage open conversation, encourage team bonding so individuals feel comfortable interacting on a personal level with coworkers, make mental health a priority in healthcare plans, promote work life balance, offer work from home days, flexible work hours",,,wouldnt want affect credibility consideration role,wouldnt want affect perceived competence role,,,,,talked struggle anxiety panic attack coworker similar experience discussed dealt,told anxiety panic attack affected first job learned cope anxiety professional setting,encourage wellness day encourage open conversation encourage team bonding individual feel comfortable interacting personal level coworkers make mental health priority healthcare plan promote work life balance offer work home day flexible work hour,,,wouldnt want affect credibility consideration role wouldnt want affect perceived competence role     talked struggle anxiety panic attack coworker similar experience discussed dealt told anxiety panic attack affected first job learned cope anxiety professional setting encourage wellness day encourage open conversation encourage team bonding individual feel comfortable interacting personal level coworkers make mental health priority healthcare plan promote work life balance offer work home day flexible work hour  ,0.0915,Positive,United States of America
,,Was feeling super stressed and needed some time off and it was no problem,Just that I was feeling stressed and needed to take a day off,Was about substance abuse,,,,,,,,,feeling super stressed needed time problem,feeling stressed needed take day,substance abuse,,,,,,,  feeling super stressed needed time problem feeling stressed needed take day substance abuse      ,-0.7003,Negative,United States of America
"If I know (and control, follow) that phsical issue is not going to effect my work I won't bring it up.",Again if I know that the issue is going to affect my work I will bring it up,,Our director is mobbing every one and most of my coworkers feel and share the anxiety,Our director is mobbing me and some of my co-workers and most of them feels and share the aniexty,I was having a hard time because of the work pressure and my employer gave me some days off,I told them that I was planning to make an appointement from a psychologist. They tld me that I shouldn't loose more time if I feel like I need to,,Just stop thinking that having a mental issue is pretty same as having a psychical issue.,The director was mobbing and made one of my coworkers quit,,know control follow phsical issue going effect work wont bring,know issue going affect work bring,,director mobbing every one coworkers feel share anxiety,director mobbing coworkers feel share aniexty,hard time work pressure employer gave day,told planning make appointement psychologist tld shouldnt loose time feel like need,,stop thinking mental issue pretty psychical issue,director mobbing made one coworkers quit,,know control follow phsical issue going effect work wont bring know issue going affect work bring  director mobbing every one coworkers feel share anxiety director mobbing coworkers feel share aniexty hard time work pressure employer gave day told planning make appointement psychologist tld shouldnt loose time feel like need  stop thinking mental issue pretty psychical issue director mobbing made one coworkers quit ,0.6769,Positive,Germany
"Everybody can understand physical health issues.  If for example I have an herniated disc, I expect most of the people would be sympathetic.","It would depend on how comfortable I feel with my interviewer. If he/she is an inquisitive person, mayble I'd try not to focus the interview on my mental health.","I used to suffer of agoraphobia and panic attacks. I still deal with anxiety. Most of the time I can handle it, but a couple of times I felt a lot of pressure. I talked about this with my manager and he completely understood and helped me overcome everything, either by recommending me to rest, giving me more resources (people)... I absolutely can't complain. They make me feel safer and able to tackle whatever it comes.","I have only talked about it with close coworkers, people I feel very comfortable with. They reaction was good and understanding. However, I wouldn't talk about mental issues with any peer.",,,,,"I think sometimes it can be hard. We work long hourse and people are often very competitive, which might led to a toxic workspace. I think companies should have a culture which prevents this, starting from the VPs and Directors. This means toxic people won't be hired or prometed to positions where soft skills are a must.",,,everybody understand physical health issue example herniated disc expect people would sympathetic,would depend comfortable feel interviewer heshe inquisitive person mayble id try focus interview mental health,used suffer agoraphobia panic attack still deal anxiety time handle couple time felt lot pressure talked manager completely understood helped overcome everything either recommending rest giving resource people absolutely cant complain make feel safer able tackle whatever come,talked close coworkers people feel comfortable reaction good understanding however wouldnt talk mental issue peer,,,,,think sometimes hard work long hourse people often competitive might led toxic workspace think company culture prevents starting vps director mean toxic people wont hired prometed position soft skill must,,,everybody understand physical health issue example herniated disc expect people would sympathetic would depend comfortable feel interviewer heshe inquisitive person mayble id try focus interview mental health used suffer agoraphobia panic attack still deal anxiety time handle couple time felt lot pressure talked manager completely understood helped overcome everything either recommending rest giving resource people absolutely cant complain make feel safer able tackle whatever come talked close coworkers people feel comfortable reaction good understanding however wouldnt talk mental issue peer     think sometimes hard work long hourse people often competitive might led toxic workspace think company culture prevents starting vps director mean toxic people wont hired prometed position soft skill must  ,0.8355,Positive,United States of America
Don't have one,Why would I?,,,,,,,Don't know,,,dont one,would,,,,,,,dont know,,,dont one would       dont know  ,0,Neutral,United States of America
"Assuming it was relevant to the job, it would seem easier to explain than a mental health issue",It’s difficult to explain comprehensively,Notified manager of anxiety and panic attacks. Allowed time off work to recover,Openly discussed anxiety and panic attacks as a talk during an away day. Reception was largely positive,,"Varied between employees. Notified all of anxiety and panic attacks. Some supported, others just ignored it",,,Seriously limit deadlines and pressures,,,assuming relevant job would seem easier explain mental health issue,difficult explain comprehensively,notified manager anxiety panic attack allowed time work recover,openly discussed anxiety panic attack talk away day reception largely positive,,varied employee notified anxiety panic attack supported others ignored,,,seriously limit deadline pressure,,,assuming relevant job would seem easier explain mental health issue difficult explain comprehensively notified manager anxiety panic attack allowed time work recover openly discussed anxiety panic attack talk away day reception largely positive  varied employee notified anxiety panic attack supported others ignored   seriously limit deadline pressure  ,-0.9652,Negative,India
I have mild Crohn's Disease. I would want an employer to know about it in case it ever became an issue and I had to miss work for it. I don't want it to be a surprise I didn't tell them about.,"I live in Texas and feel as though there is still a huge stigma about talking about mental health issues, especially in the work place. The idea around here is that taking a pill should be enough to solve any mental health problems.",,,,,,,"The tech industry is notorious for crunch and overworking employees. I think the industry could work to have a 40-hour work week and make sure employees have time to relax.

The industry could also provide an open dialogue about mental health. Letting employees that are struggling know they won't be penalized goes a long way towards letting them get the help and treatment they need.",,,mild crohn disease would want employer know case ever became issue miss work dont want surprise didnt tell,live texas feel though still huge stigma talking mental health issue especially work place idea around taking pill enough solve mental health problem,,,,,,,tech industry notorious crunch overworking employee think industry could work hour work week make sure employee time relax industry could also provide open dialogue mental health letting employee struggling know wont penalized go long way towards letting get help treatment need,,,mild crohn disease would want employer know case ever became issue miss work dont want surprise didnt tell live texas feel though still huge stigma talking mental health issue especially work place idea around taking pill enough solve mental health problem       tech industry notorious crunch overworking employee think industry could work hour work week make sure employee time relax industry could also provide open dialogue mental health letting employee struggling know wont penalized go long way towards letting get help treatment need  ,0.1989,Positive,India
,,,,,,,\,,,,,,,,,,,,,,,          ,0,Neutral,Brazil
Not relevant to work,Fear of being discounted,Conversations about stress and timelines we raised. They asked what they to do to relieve some of the pressure,Effect of COVID and being forced to work from home,Effect of COVID and being forced to work from home,,,,Value the assets (resources) they have and protect them as much as they look at other cost cutting activities,,"My employer offers a ""good health day"" for us to take one day per year off work with pay to go do something good for our physical/mental health",relevant work,fear discounted,conversation stress timeline raised asked relieve pressure,effect covid forced work home,effect covid forced work home,,,,value asset resource protect much look cost cutting activity,,employer offer good health day u take one day per year work pay go something good physicalmental health,relevant work fear discounted conversation stress timeline raised asked relieve pressure effect covid forced work home effect covid forced work home    value asset resource protect much look cost cutting activity  employer offer good health day u take one day per year work pay go something good physicalmental health,-0.0258,Neutral,Malaysia
don't know,personal,,,,,,,speaking,,nothing,dont know,personal,,,,,,,speaking,,nothing,dont know personal       speaking  nothing,0,Neutral,United States of America
Yes,Yes,Yes,No,,Yes,Yes,Yes,Yes,Yes,Yes,yes,yes,yes,,,yes,yes,yes,yes,yes,yes,yes yes yes   yes yes yes yes yes yes,0.9694,Positive,Indonesia
Irrelevant to my work and can be a reason to not be hired,Same as physical,My immediate supervisor is an active advocate for NAMI so it is easy to speak with them on any current issues I am having. I got lucky in that way.,It was with a specific coworker that has also had issues in the past and has let that become common knowledge. There is a known history others in my group at work to have sought out and gotten help.,Pass,I was asked if I wished to speak with HR about it. It was not a pleasant experience,,,Acknowledge it is real and provide safe spaces to get help or just talk,Pass,,irrelevant work reason hired,physical,immediate supervisor active advocate nami easy speak current issue got lucky way,specific coworker also issue past let become common knowledge known history others group work sought gotten help,pas,asked wished speak hr pleasant experience,,,acknowledge real provide safe space get help talk,pas,,irrelevant work reason hired physical immediate supervisor active advocate nami easy speak current issue got lucky way specific coworker also issue past let become common knowledge known history others group work sought gotten help pas asked wished speak hr pleasant experience   acknowledge real provide safe space get help talk pas ,0.9584,Positive,South Africa
"I feel like depending on the job, that may affect me from getting the job.",I feel like it would possibly hinder me from getting the job.,,We were just talking one day and subject got brought up and we shared our stories about our experiences.,"Again, the subject just got brought up about our stories and how it happened and came about.",It was when I found out I had an anxiety disorder mixed in with depression and I had to let me boss know at my retail job why my work was starting to faulter.,"I told them that something was wrong and I couldn't describe it but something mentally was wrong and I knew they had been going through the same thing, so I asked them what it felt like and it matched.","They just brought it up one day. It was more asking, what was wrong, and then we talked.",,I think it was more they just didn't take what they were going through seriously.,,feel like depending job may affect getting job,feel like would possibly hinder getting job,,talking one day subject got brought shared story experience,subject got brought story happened came,found anxiety disorder mixed depression let bos know retail job work starting faulter,told something wrong couldnt describe something mentally wrong knew going thing asked felt like matched,brought one day asking wrong talked,,think didnt take going seriously,,feel like depending job may affect getting job feel like would possibly hinder getting job  talking one day subject got brought shared story experience subject got brought story happened came found anxiety disorder mixed depression let bos know retail job work starting faulter told something wrong couldnt describe something mentally wrong knew going thing asked felt like matched brought one day asking wrong talked  think didnt take going seriously ,-0.7895,Negative,Poland
It makes the relationship easier and avoid me losing my job most of the time,Depends on the feeling I have about the employer,,,,,,,"More advocacy, resources, accommodations and discussions",,"I have a sleep disorder which can make my relationships at work difficult, that can lead to anxiety, shame. I think we should be able to talk openly about these issues too and accomodate.",make relationship easier avoid losing job time,depends feeling employer,,,,,,,advocacy resource accommodation discussion,,sleep disorder make relationship work difficult lead anxiety shame think able talk openly issue accomodate,make relationship easier avoid losing job time depends feeling employer       advocacy resource accommodation discussion  sleep disorder make relationship work difficult lead anxiety shame think able talk openly issue accomodate,-0.8591,Negative,India
Only if physical properties needed for job,What employer wants an employee with mental health issues?,,,,,,,Take away the pressure. I essentially mean that employers have unrealistic goals/deadlines etc. and employees definitely suffer from this,,"With how competitive the tech industry is and how quick it evolves, it quite frankly seems impossible to have good mental health.",physical property needed job,employer want employee mental health issue,,,,,,,take away pressure essentially mean employer unrealistic goalsdeadlines etc employee definitely suffer,,competitive tech industry quick evolves quite frankly seems impossible good mental health,physical property needed job employer want employee mental health issue       take away pressure essentially mean employer unrealistic goalsdeadlines etc employee definitely suffer  competitive tech industry quick evolves quite frankly seems impossible good mental health,0.2263,Positive,India
Fear of descrimination,Fear of discrimination.,,,,It was a show of false compassion. Nothing was done to help or even  encourage pursuing help.,"Discussed in depth to mostly non-judgement, however, if I was fully transparent about suicidal ideation, the support crumbled.",,,"Mentioned earlier, previous supervisor dismissed conversation",,fear descrimination,fear discrimination,,,,show false compassion nothing done help even encourage pursuing help,discussed depth mostly nonjudgement however fully transparent suicidal ideation support crumbled,,,mentioned earlier previous supervisor dismissed conversation,,fear descrimination fear discrimination    show false compassion nothing done help even encourage pursuing help discussed depth mostly nonjudgement however fully transparent suicidal ideation support crumbled   mentioned earlier previous supervisor dismissed conversation ,-0.7714,Negative,United States of America
I feel there is less stigma associated with physical health problems than mental health problems. People generally understand them more.,"I fear it may be seen as a weakness, something that could make me less likely to be the selected candidate.",,,,,,,"Make mental as forefront as physical health, make people comfortable discussing it openly and reduce the stigma associated with it.",,Thank you for caring about mental health and campaigning for it. I truly appreciate it.,feel less stigma associated physical health problem mental health problem people generally understand,fear may seen weakness something could make less likely selected candidate,,,,,,,make mental forefront physical health make people comfortable discussing openly reduce stigma associated,,thank caring mental health campaigning truly appreciate,feel less stigma associated physical health problem mental health problem people generally understand fear may seen weakness something could make less likely selected candidate       make mental forefront physical health make people comfortable discussing openly reduce stigma associated  thank caring mental health campaigning truly appreciate,0.4939,Positive,United Kingdom
physical issues are widely understood,Remote positions do not require me to disclose my condition,I am agoraphobic and it is a primary factor in any employment I seek,What is my condition (agoraphobia) and how it effects my work/employment.,"Alcoholism, Agoraphobia, FOMO, imposter syndrome",Explaining agoraphobia and the effects on my performance,Agoraphobia and the effects,"Anxiety, FOMO, general discussion","The tech industry can either ignore or take advantage of mental health issues, but RARELY just accepts them",,,physical issue widely understood,remote position require disclose condition,agoraphobic primary factor employment seek,condition agoraphobia effect workemployment,alcoholism agoraphobia fomo imposter syndrome,explaining agoraphobia effect performance,agoraphobia effect,anxiety fomo general discussion,tech industry either ignore take advantage mental health issue rarely accepts,,,physical issue widely understood remote position require disclose condition agoraphobic primary factor employment seek condition agoraphobia effect workemployment alcoholism agoraphobia fomo imposter syndrome explaining agoraphobia effect performance agoraphobia effect anxiety fomo general discussion tech industry either ignore take advantage mental health issue rarely accepts  ,-0.4874,Negative,United States of America
Don't want to look weak.,It'll affect the hiring process,,,,,,,Frequent Seminars,,No,dont want look weak,itll affect hiring process,,,,,,,frequent seminar,,,dont want look weak itll affect hiring process       frequent seminar  ,0.2924,Positive,India
.,Privacy,"no one shouldn't tolerate any form of oppression in 2019. my employer asked me if I really knew the personality of the my n+1, no action has been taken and I left the office",i regreted this conversation,,,,difference of approach,accept difference and integrate woman managers,.,,,privacy,one shouldnt tolerate form oppression employer asked really knew personality n action taken left office,regreted conversation,,,,difference approach,accept difference integrate woman manager,,, privacy one shouldnt tolerate form oppression employer asked really knew personality n action taken left office regreted conversation    difference approach accept difference integrate woman manager  ,0.3818,Positive,India
Typically not relevant to being hired and fear on making me look like a liability,"Depends on what. Past burnout events might be a relevant topic, but other experiences are less likely to be relevant to hiring.",We regularly discuss burnout both in a top-down and down-up manner.,We regularly discuss burnout and the mental energy effects of different work initiatives,Primarily burnout and the drain of different projects,,,,Address mental health issues as opportunities to improve the employer/industry by making people a better investment.,,Thank you for the work you've done over the years. Our societies are slowly taking steps to talk about and support people with needs.,typically relevant hired fear making look like liability,depends past burnout event might relevant topic experience less likely relevant hiring,regularly discus burnout topdown downup manner,regularly discus burnout mental energy effect different work initiative,primarily burnout drain different project,,,,address mental health issue opportunity improve employerindustry making people better investment,,thank work youve done year society slowly taking step talk support people need,typically relevant hired fear making look like liability depends past burnout event might relevant topic experience less likely relevant hiring regularly discus burnout topdown downup manner regularly discus burnout mental energy effect different work initiative primarily burnout drain different project    address mental health issue opportunity improve employerindustry making people better investment  thank work youve done year society slowly taking step talk support people need,0.9081,Positive,India
not as taboo,not comfortable doing it,,,,,,,more discussions,some put under stress,no,taboo,comfortable,,,,,,,discussion,put stress,,taboo comfortable       discussion put stress ,0.128,Positive,United States of America
Nobody has ever assumed that a person is unstable because of a physical health issue,It would be counted negatively against me,I only told my manager of my mental health condition because I couldn’t keep my commitment to a business trip. My manager and HR director were supportive but no help was offered and the conversation was quickly forgotten.,"It wasn’t really a conversation, just dropping hints. I struggle to start the conversation.",There are too many conversation to describe in detail but my colleagues have spoken to me about depression and suicidal feelings.,,,,Make it normal to talk about mental health. Make support resources available.,A colleague being managed out of the organisation because of his depression,,nobody ever assumed person unstable physical health issue,would counted negatively,told manager mental health condition couldnt keep commitment business trip manager hr director supportive help offered conversation quickly forgotten,wasnt really conversation dropping hint struggle start conversation,many conversation describe detail colleague spoken depression suicidal feeling,,,,make normal talk mental health make support resource available,colleague managed organisation depression,,nobody ever assumed person unstable physical health issue would counted negatively told manager mental health condition couldnt keep commitment business trip manager hr director supportive help offered conversation quickly forgotten wasnt really conversation dropping hint struggle start conversation many conversation describe detail colleague spoken depression suicidal feeling    make normal talk mental health make support resource available colleague managed organisation depression ,-0.9133,Negative,United States of America
Since it involves a potential chance of losing the offer,Because I have never been encouraged to open up on that front and it appears as taboo.,,,,,,,Openly brief their support level on the joining day and encourage employee to open up time to time.,He had been relieved from work earlier than usual.,,since involves potential chance losing offer,never encouraged open front appears taboo,,,,,,,openly brief support level joining day encourage employee open time time,relieved work earlier usual,,since involves potential chance losing offer never encouraged open front appears taboo       openly brief support level joining day encourage employee open time time relieved work earlier usual ,0.7087,Positive,Turkey
No new employer would care about our issues. They have a choice to select someone else.,"If they are in the process of interviewing others, they will not like to hire one with any baggage",,,,,,,"Big tech giants need to more, openly and encourage all to do their part. Just like some companies select vendors who may be doing some Go Green initiatives, or awarding to minority owned businesses, they can also award businesses that does their part in this mental health area. In other words, encourage, directly and indirectly.",,"Focus on prevention. Find root cause, and go backwards, do not wait until someone gets this at work in IT companies. Go to the source and fix it/ partner with other organizations.",new employer would care issue choice select someone else,process interviewing others like hire one baggage,,,,,,,big tech giant need openly encourage part like company select vendor may go green initiative awarding minority owned business also award business part mental health area word encourage directly indirectly,,focus prevention find root cause go backwards wait someone get work company go source fix partner organization,new employer would care issue choice select someone else process interviewing others like hire one baggage       big tech giant need openly encourage part like company select vendor may go green initiative awarding minority owned business also award business part mental health area word encourage directly indirectly  focus prevention find root cause go backwards wait someone get work company go source fix partner organization,0.9648,Positive,Spain
I don't wish to discuss physical health issues that are not relevant to the job,"Because I think it would lower me in the interviewers ""score index"" against similarly qualified candidates.",,It was other people who also had issues too so it was basically a normal conversation.,"Stress about life events (divorce), stress about dealing with doctors to get back on medications they had been previously prescribed, anxiety and distraction issues.",,I was just sharing some like experiences.,,Make it Mental Health policies part of onboarding.,,,dont wish discus physical health issue relevant job,think would lower interviewer score index similarly qualified candidate,,people also issue basically normal conversation,stress life event divorce stress dealing doctor get back medication previously prescribed anxiety distraction issue,,sharing like experience,,make mental health policy part onboarding,,,dont wish discus physical health issue relevant job think would lower interviewer score index similarly qualified candidate  people also issue basically normal conversation stress life event divorce stress dealing doctor get back medication previously prescribed anxiety distraction issue  sharing like experience  make mental health policy part onboarding  ,-0.794,Negative,Spain
uncomfortable.  if I felt that my health was going to be an issue I would not apply or would retract my application.,I would feel that the stigma associated with the issue would prevent me from getting the job.,,,Person dealing with depression and wanted suggestions about how to deal with it; they knew I have a parent that deals with it and wanted to learn more about what we did.,,,,easier ways to get time off; ability to work from home as needed,"person indicated they were depressed and received no support, they ended up leaving the organization because they couldn't get any resolution.",,uncomfortable felt health going issue would apply would retract application,would feel stigma associated issue would prevent getting job,,,person dealing depression wanted suggestion deal knew parent deal wanted learn,,,,easier way get time ability work home needed,person indicated depressed received support ended leaving organization couldnt get resolution,,uncomfortable felt health going issue would apply would retract application would feel stigma associated issue would prevent getting job   person dealing depression wanted suggestion deal knew parent deal wanted learn    easier way get time ability work home needed person indicated depressed received support ended leaving organization couldnt get resolution ,-0.4019,Negative,United States of America
"If it is a part of me, then I would want to share that during the interview.

If I wouldn't it could also be perceived as not being honest with the employer.","Actually it was part of the last interview I did with my current employer, we even did a test on what my personal profile was at that moment in time.

And the country where I live does value honesty about anything, so if I would have had a mental illness the employer would like to know so upfront and don't get to know it later.","I was having some issues in the team I was working in, firstly with my appointed coach, and later with the lead-link of the circle I was part of. Unfortunately the counselling itself didn't work, and I chose to join a different circle, where I am myself in a position to help others with some of the issues I had.","At the beginning of the pandemic we were all working from home, and I started to feel less motivated, and I felt a bit sombre.
I was able to mention this in the stand-up we do every morning, and at that moment I got some help from our coach, but also we started to have the coffee and Friday afternoon chats on our meeting platform.","The co-worker in question had some anxiety issues with the team the person was in. That was the moment that person was able to talk with me. 

We talked about the issues the person was having, and later the person thanked me for listening, and decided to take a position in a team that was not toxic.",,"My previous employer was a bit of a special case, it was a small e-commerce company with about 15 people working in it.

At some point the company itself was having a very toxic atmosphere created by some of the co-workers working with me.

I started discussing the issues I had with a co-worker and we were both relieved that we shared some of the issues that we saw. Unfortunately we couldn't change much of the company, so we decided both on different times that we had to leave the company itself.",,"The first thing is to make any person on what level in the company feeling safe to open up about the issues the person is facing.

In the teams I've been working at our current company we do try to make the team as safe as possible so that anybody will be able to open up and discuss the issues they're facing.","We had a co-worker at my previous workplace that has Asperger, so the person had to sit alone to not have to many impulses from outside.

However this person was always spoken of as if the person was different and wouldn't be able to deliver.",,part would want share interview wouldnt could also perceived honest employer,actually part last interview current employer even test personal profile moment time country live value honesty anything would mental illness employer would like know upfront dont get know later,issue team working firstly appointed coach later leadlink circle part unfortunately counselling didnt work chose join different circle position help others issue,beginning pandemic working home started feel less motivated felt bit sombre able mention standup every morning moment got help coach also started coffee friday afternoon chat meeting platform,coworker question anxiety issue team person moment person able talk talked issue person later person thanked listening decided take position team toxic,,previous employer bit special case small ecommerce company people working point company toxic atmosphere created coworkers working started discussing issue coworker relieved shared issue saw unfortunately couldnt change much company decided different time leave company,,first thing make person level company feeling safe open issue person facing team ive working current company try make team safe possible anybody able open discus issue theyre facing,coworker previous workplace asperger person sit alone many impulse outside however person always spoken person different wouldnt able deliver,,part would want share interview wouldnt could also perceived honest employer actually part last interview current employer even test personal profile moment time country live value honesty anything would mental illness employer would like know upfront dont get know later issue team working firstly appointed coach later leadlink circle part unfortunately counselling didnt work chose join different circle position help others issue beginning pandemic working home started feel less motivated felt bit sombre able mention standup every morning moment got help coach also started coffee friday afternoon chat meeting platform coworker question anxiety issue team person moment person able talk talked issue person later person thanked listening decided take position team toxic  previous employer bit special case small ecommerce company people working point company toxic atmosphere created coworkers working started discussing issue coworker relieved shared issue saw unfortunately couldnt change much company decided different time leave company  first thing make person level company feeling safe open issue person facing team ive working current company try make team safe possible anybody able open discus issue theyre facing coworker previous workplace asperger person sit alone many impulse outside however person always spoken person different wouldnt able deliver ,0.979,Positive,United Kingdom
,,,,,,,,,,,,,,,,,,,,,,,,,United States of America
,,,,,,,,,,,,,,,,,,,,,,,,,Sri Lanka
,,,,,,,,,,,,,,,,,,,,,,,,,Australia
,,,,,,,,,,,,,,,,,,,,,,,,,France
,,,,,,,,,,,,,,,,,,,,,,,,,Bangladesh
,,,,,,,,,,,,,,,,,,,,,,,,,United States of America
,,,,,,,,,,,,,,,,,,,,,,,,,Canada
,,,,,,,,,,,,,,,,,,,,,,,,,Canada
,,,,,,,,,,,,,,,,,,,,,,,,,Ireland
,,,,,,,,,,,,,,,,,,,,,,,,,United States of America
,,,,,,,,,,,,,,,,,,,,,,,,,Canada
,,,,,,,,,,,,,,,,,,,,,,,,,United States of America
,,,,,,,,,,,,,,,,,,,,,,,,,India
,,,,,,,,,,,,,,,,,,,,,,,,,France
,,,,,,,,,,,,,,,,,,,,,,,,,United States of America
,,,,,,,,,,,,,,,,,,,,,,,,,United Kingdom
,,,,,,,,,,,,,,,,,,,,,,,,,United Kingdom
,,,,,,,,,,,,,,,,,,,,,,,,,India
